項次,事業單位或事業主之名稱、負責人姓名,違反法令條款,違反法規內容,處分書文號,處分日期,備註
13,佳隆加油站有限公司,勞基法第35條,繼續工作四小時未有三十分鐘休息。,府勞動字第1030048278號,103年1月14日,
14,財團法人馬階紀念醫院新竹分院,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1030087847號,103年4月3日
14,財團法人馬階紀念醫院新竹分院,勞基法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第1030087847號,103年4月3日,
14,財團法人馬階紀念醫院新竹分院,勞基法第35條,繼續工作四小時未有三十分鐘休息。,府勞動字第1030087847號,103年4月3日,
15,新中興醫院,勞基法第32條第1項,延長工作時間不符法定要件。,府勞動字第1030092399號,103年4月10日,103年度醫療院所勞動條件專案檢查
15,新中興醫院,勞基法第36條,每七日中未有一日之休息作為例假。,府勞動字第1030092399號,103年4月10日,103年度醫療院所勞動條件專案檢查
16,財團法人馬階紀念醫院新竹分院,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1030092428號,103年4月11日,103年度醫療院所勞動條件專案檢查
16,財團法人馬階紀念醫院新竹分院,勞基法第32條第2項,延長工作時間超過法令規定。,府勞動字第1030092428號,103年4月11日,103年度醫療院所勞動條件專案檢查
16,財團法人馬階紀念醫院新竹分院,勞基法第36條,每七日中未有一日之休息作為例假。,府勞動字第1030092428號,103年4月11日,103年度醫療院所勞動條件專案檢查
16,財團法人馬階紀念醫院新竹分院,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,府勞動字第1030092428號,103年4月11日,103年度醫療院所勞動條件專案檢查
17,國軍新竹地區醫院附設民眾診療服務處,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1030094090號,103年4月15日,103年度醫療院所勞動條件專案檢查
17,國軍新竹地區醫院附設民眾診療服務處,勞基法第32條第1項,延長工作時間不符法定要件。,府勞動字第1030094090號,103年4月15日,103年度醫療院所勞動條件專案檢查
17,國軍新竹地區醫院附設民眾診療服務處,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,府勞動字第1030094090號,103年4月15日,103年度醫療院所勞動條件專案檢查
18,南門綜合醫院,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1030103411號,103年5月1日,103年度醫療院所勞動條件專案檢查
18,國泰醫療財團法人新竹國泰綜合醫院,勞基法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第1030103514號,103年5月5日,103年度醫療院所勞動條件專案檢查
18,國泰醫療財團法人新竹國泰綜合醫院,勞基法第36條,每七日中未有一日之休息作為例假。,府勞動字第1030103514號,103年5月5日,103年度醫療院所勞動條件專案檢查
19,晨宇物流股份有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第1030105525號,103年5月7日,103年度儲配運輸物流與汽車貨運業勞動條件專案檢查
20,鳥丸工場食品股份有限公司,勞基法第22條第2項,工資未全額直接給付勞工。,府勞動字第1030108293號,103年5月13日
20,鳥丸工場食品股份有限公司,勞基法第27條,違反主管機關限期給付工資之命令。,府勞動字第1030108293號,103年5月13日,
21,仁瀚科技股份有限公司,勞基法第22條第2項,工資未全額直接給付勞工。,府勞動字第1030108300號,103年5月13日
21,仁瀚科技股份有限公司,勞基法第27條,違反主管機關限期給付工資之命令。,府勞動字第1030108300號,103年5月13日,
22,五崧捷運股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,府勞動字第1030110942號,103年5月20日,103年度儲配運輸物流與汽車貨運業勞動條件專案檢查
22,五崧捷運股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假。,府勞動字第1030110942號,103年5月20日,103年度儲配運輸物流與汽車貨運業勞動條件專案檢查
22,五崧捷運股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,府勞動字第1030110942號,103年5月20日,103年度儲配運輸物流與汽車貨運業勞動條件專案檢查
23,新竹市私立文華幼兒園,勞基法第21條第1項,未達基本工資。,府勞動字第1030131750號,103年6月27日,103年度私立幼兒園勞動條件檢專案檢查
23,新竹市私立文華幼兒園,勞基法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第1030131750號,103年6月27日,103年度私立幼兒園勞動條件檢專案檢查
24,芙洛麗精品飯店股份有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第1030135195號,103年7月10日
25,財團法人台灣省私立桃園仁愛之家附設新竹新生醫院,勞基法第36條,每七日中未有一日之休息作為例假。,府勞動字第1030142959號,103年7月22日,103年度醫療院所勞動條件專案檢查
26,新竹市私立參次方文理短期補習班,勞基法第22條第1項,工資未全額直接給付勞工。,府勞動字第1030148361號,103年7月31日
26,新竹市私立參次方文理短期補習班,勞基法第27條,違反主管機關限期給付工資之命令。,府勞動字第1030148361號,103年7月31日,
